# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.070039, -0.183632, 1.1, 1.1
0.157637, -0.365394, 1.1, 1.1
0.260106, -0.538786, 1.1, 1.1
0.387526, -0.715417, 1.1, 1.1
0.51477, -0.865888, 1.1, 1.1
0.649729, -1.006819, 1.1, 1.1
0.790919, -1.137095, 1.1, 1.1
0.930286, -1.258537, 1.1, 1.1
1.090893, -1.389015, 1.1, 1.1
1.249357, -1.503484, 1.1, 1.1
1.415764, -1.620344, 1.1, 1.1
1.581266, -1.745507, 1.1, 1.1
1.734732, -1.877736, 1.1, 1.1
1.872684, -2.020802, 1.1, 1.1
1.995491, -2.183408, 1.1, 1.1
2.098295, -2.343254, 1.1, 1.1
2.19572, -2.514721, 1.1, 1.1
2.273713, -2.689394, 1.1, 1.1
2.338042, -2.88534, 1.1, 1.1
2.379472, -3.077057, 1.1, 1.1
2.402236, -3.277234, 1.1, 1.1
2.405302, -3.478895, 1.1, 1.1
2.390129, -3.67603, 1.1, 1.1
2.357234, -3.87736, 1.1, 1.1
2.310034, -4.068923, 1.1, 1.1
2.249456, -4.25915, 1.1, 1.1
2.177563, -4.448825, 1.1, 1.1
2.099973, -4.630278, 1.1, 1.1
2.015808, -4.811847, 1.1, 1.1
1.927419, -4.993109, 1.1, 1.1
1.838162, -5.170785, 1.1, 1.1
1.746615, -5.348652, 1.1, 1.1
1.653223, -5.526219, 1.1, 1.1
1.558476, -5.702712, 1.1, 1.1
1.462326, -5.877855, 1.1, 1.1
1.364512, -6.051633, 1.1, 1.1
1.263321, -6.226479, 1.1, 1.1
1.161155, -6.39776, 1.1, 1.1
1.057065, -6.56665, 1.1, 1.1
0.947851, -6.737503, 1.1, 1.1
0.837984, -6.902562, 1.1, 1.1
0.724479, -7.065682, 1.1, 1.1
0.606251, -7.228037, 1.1, 1.1
0.486935, -7.38532, 1.1, 1.1
0.363305, -7.542671, 1.1, 1.1
0.237746, -7.697755, 1.1, 1.1
0.110673, -7.850869, 1.1, 1.1
-0.018497, -8.003479, 1.1, 1.1
-0.148438, -8.154729, 1.1, 1.1
-0.279258, -8.305465, 1.1, 1.1
-0.410566, -8.4559, 1.1, 1.1
-0.541974, -8.606218, 1.1, 1.1
-0.673101, -8.756611, 1.1, 1.1
-0.803953, -8.90771, 1.1, 1.1
-0.933567, -9.059024, 1.1, 1.1
-1.062246, -9.211646, 1.1, 1.1
-1.189536, -9.365826, 1.1, 1.1
-1.314115, -9.520689, 1.1, 1.1
-1.437399, -9.678724, 1.1, 1.1
-1.556636, -9.837081, 1.1, 1.1
-1.673005, -9.998334, 1.1, 1.1
-1.787591, -10.165422, 1.1, 1.1
-1.893318, -10.32867, 1.1, 1.1
-1.997224, -10.499548, 1.1, 1.1
-2.097618, -10.67657, 1.1, 1.1
-2.188654, -10.850376, 1.1, 1.1
-2.274151, -11.031952, 1.1, 1.1
-2.350812, -11.220233, 1.1, 1.1
-2.414403, -11.409376, 1.1, 1.1
-2.465134, -11.603007, 1.1, 1.1
-2.500956, -11.799242, 1.1, 1.1
-2.520739, -12.005293, 1.1, 1.1
-2.5227, -12.207093, 1.1, 1.1
-2.507836, -12.397928, 1.1, 1.1
-2.469385, -12.608597, 1.1, 1.1
-2.414621, -12.795979, 1.1, 1.1
-2.342671, -12.979109, 1.1, 1.1
-2.25034, -13.151762, 1.1, 1.1
-2.128076, -13.307264, 1.1, 1.1
-1.974546, -13.428894, 1.1, 1.1
-1.781223, -13.499266, 1.1, 1.1
-1.589878, -13.514648, 1.1, 1.1
-1.401753, -13.504343, 1.1, 1.1
-1.201523, -13.476734, 1.1, 1.1
-1.017724, -13.415434, 1.1, 1.1
-0.834672, -13.326033, 1.1, 1.1
-0.657266, -13.217928, 1.1, 1.1
-0.495357, -13.103854, 1.1, 1.1
-0.33408, -12.981238, 1.1, 1.1
-0.170276, -12.85343, 1.1, 1.1
-0.009522, -12.728692, 1.1, 1.1
0.143211, -12.613871, 1.1, 1.1
0.316802, -12.491046, 1.1, 1.1
0.468739, -12.385495, 1.1, 1.1
0.628463, -12.270608, 1.1, 1.1
0.792972, -12.162934, 1.1, 1.1
0.963492, -12.069406, 1.1, 1.1
1.154446, -11.981583, 1.1, 1.1
1.342271, -11.908528, 1.1, 1.1
1.531556, -11.844514, 1.1, 1.1
1.729024, -11.786693, 1.1, 1.1
1.918079, -11.738108, 1.1, 1.1
2.108174, -11.691772, 1.1, 1.1
2.301402, -11.64156, 1.1, 1.1
2.489129, -11.584735, 1.1, 1.1
2.678432, -11.517326, 1.1, 1.1
2.862758, -11.44128, 1.1, 1.1
3.042643, -11.356497, 1.1, 1.1
3.221826, -11.260829, 1.1, 1.1
3.390716, -11.159615, 1.1, 1.1
3.558681, -11.047691, 1.1, 1.1
3.719454, -10.929185, 1.1, 1.1
3.874341, -10.803749, 1.1, 1.1
4.02541, -10.670035, 1.1, 1.1
4.168595, -10.532122, 1.1, 1.1
4.30706, -10.387933, 1.1, 1.1
4.440607, -10.238393, 1.1, 1.1
