# x_m, y_m, w_tr_right_m, w_tr_left_m
54.166599, -7.359225, 0.492195, 0.497014
54.066730, -7.354802, 0.491199, 0.504887
53.967723, -7.340960, 0.487262, 0.502896
53.870019, -7.319913, 0.480837, 0.499570
53.774112, -7.291640, 0.467149, 0.486448
53.679673, -7.258941, 0.456652, 0.470452
53.588454, -7.218031, 0.446267, 0.458665
53.500087, -7.171351, 0.436380, 0.446471
53.415169, -7.118541, 0.428914, 0.439548
53.331687, -7.063629, 0.427330, 0.433281
53.252967, -7.001964, 0.429864, 0.424367
53.175360, -6.938902, 0.432760, 0.422511
53.098407, -6.875041, 0.440271, 0.428507
53.022646, -6.809850, 0.452738, 0.439457
52.952690, -6.738498, 0.470113, 0.457240
52.890543, -6.660293, 0.495588, 0.483507
52.837331, -6.575662, 0.525656, 0.512986
52.788628, -6.488323, 0.548281, 0.547172
52.741233, -6.400297, 0.571584, 0.572036
52.698657, -6.309829, 0.596765, 0.598778
52.658347, -6.218331, 0.614796, 0.623145
52.614007, -6.128707, 0.633643, 0.646109
52.566169, -6.040946, 0.647738, 0.661878
52.512742, -5.956414, 0.663733, 0.674955
52.459686, -5.871650, 0.671584, 0.683303
52.407459, -5.786373, 0.671629, 0.690498
52.354809, -5.701364, 0.672896, 0.695566
52.298311, -5.618963, 0.674638, 0.696290
52.234642, -5.541855, 0.674796, 0.695905
52.172104, -5.463824, 0.674842, 0.687579
52.108136, -5.386995, 0.674548, 0.683235
52.040489, -5.313352, 0.665000, 0.672647
51.973492, -5.239139, 0.664434, 0.660814
51.902977, -5.168239, 0.664095, 0.654434
51.830769, -5.099062, 0.663982, 0.648439
51.756579, -5.032067, 0.665792, 0.646290
51.677632, -4.970772, 0.667760, 0.647986
51.593627, -4.916688, 0.674887, 0.655226
51.505059, -4.870272, 0.676719, 0.664548
51.415141, -4.826543, 0.679570, 0.674027
51.323463, -4.786674, 0.684457, 0.684977
51.230625, -4.749602, 0.692466, 0.691719
51.139527, -4.708360, 0.696222, 0.698575
51.047405, -4.669564, 0.700204, 0.704706
50.953615, -4.634923, 0.707195, 0.709367
50.860643, -4.598171, 0.715045, 0.713575
50.766074, -4.565664, 0.723529, 0.718416
50.671263, -4.533882, 0.729186, 0.721674
50.575960, -4.503598, 0.728552, 0.724661
50.480946, -4.472420, 0.724864, 0.727149
50.386912, -4.438564, 0.721357, 0.725611
50.296149, -4.396785, 0.716267, 0.726810
50.208668, -4.348339, 0.709593, 0.725747
50.121160, -4.299940, 0.704796, 0.720882
50.034771, -4.249701, 0.700339, 0.719208
49.951446, -4.194418, 0.699910, 0.710724
49.867710, -4.139767, 0.698801, 0.707579
49.785265, -4.083173, 0.694005, 0.706765
49.703341, -4.025838, 0.696131, 0.698575
49.622546, -3.966914, 0.697172, 0.695385
49.542937, -3.906449, 0.697647, 0.690882
49.465963, -3.842613, 0.694548, 0.689050
49.388129, -3.779860, 0.689864, 0.685339
49.308522, -3.719347, 0.685588, 0.680204
49.229803, -3.657678, 0.678643, 0.677398
49.150343, -3.596972, 0.676244, 0.679140
49.069654, -3.537906, 0.670385, 0.674186
48.988478, -3.479511, 0.666742, 0.668213
48.908930, -3.418969, 0.662534, 0.663371
48.831470, -3.355750, 0.656674, 0.656652
48.753444, -3.293311, 0.654842, 0.651742
48.679367, -3.226135, 0.647330, 0.652330
48.604331, -3.160063, 0.643054, 0.648484
48.527187, -3.096433, 0.638937, 0.647195
48.450149, -3.032681, 0.636968, 0.648688
48.371816, -2.970527, 0.635679, 0.649955
48.292611, -2.909483, 0.633529, 0.646222
48.214140, -2.847503, 0.635747, 0.647941
48.136877, -2.784022, 0.635633, 0.648575
48.059130, -2.721248, 0.641878, 0.650113
47.979003, -2.661599, 0.641018, 0.647624
47.903167, -2.596442, 0.641516, 0.642873
47.825207, -2.533814, 0.643145, 0.639321
47.746979, -2.471524, 0.645747, 0.633665
47.668597, -2.409433, 0.647557, 0.631131
47.590909, -2.346474, 0.645045, 0.630181
47.513377, -2.283395, 0.644751, 0.629276
47.438741, -2.216860, 0.648213, 0.631946
47.361848, -2.152937, 0.648665, 0.634955
47.284303, -2.089812, 0.653100, 0.635068
47.209032, -2.024000, 0.649819, 0.634050
47.134905, -1.956919, 0.652738, 0.633597
47.058902, -1.891960, 0.645090, 0.633710
46.984284, -1.825424, 0.640566, 0.636154
46.907829, -1.760998, 0.635701, 0.634163
46.833389, -1.694227, 0.632262, 0.632738
46.759114, -1.627306, 0.633937, 0.633416
46.686541, -1.558549, 0.629186, 0.632738
46.610831, -1.493225, 0.625000, 0.634163
46.535732, -1.427333, 0.623145, 0.630928
46.464574, -1.357123, 0.627308, 0.633258
46.389697, -1.290854, 0.627715, 0.634389
46.313351, -1.226268, 0.624593, 0.637851
46.236596, -1.162185, 0.626403, 0.635181
46.158742, -1.099439, 0.626222, 0.634842
46.082262, -1.035013, 0.627353, 0.631606
46.005788, -0.970583, 0.621041, 0.632172
45.929918, -0.905441, 0.622217, 0.631312
45.853825, -0.840562, 0.630656, 0.628801
45.779968, -0.773229, 0.634434, 0.631109
45.709834, -0.701950, 0.642081, 0.639774
45.639791, -0.630614, 0.641674, 0.646403
45.572983, -0.556210, 0.645136, 0.649525
