# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.401518, -0.534552, 2.500000, 1.062500
-1.281222, -0.834856, 2.312500, 0.937500
-1.133720, -1.128544, 2.096314, 0.812500
0.422306, -0.421777, 0.625000, 0.687500
0.387526, -0.715417, 0.625000, 0.687500
0.406433, -0.969634, 0.637377, 0.687500
0.412383, -1.264049, 0.673146, 0.731544
0.462440, -1.514058, 0.676041, 0.712610
0.646539, -1.607804, 0.676041, 0.762910
0.885945, -1.672733, 0.690335, 0.712610
1.134417, -1.667157, 0.673146, 0.687500
1.355445, -1.700104, 0.625000, 0.687500
1.679178, -1.631870, 0.628117, 0.690335
1.986681, -1.634793, 0.637377, 0.690335
2.271678, -1.719465, 0.676041, 0.712610
2.416025, -1.912944, 0.625000, 0.698771
2.533023, -2.096248, 0.652519, 0.698771
2.515309, -2.372022, 0.625000, 0.687500
2.511240, -2.611414, 0.673146, 0.687500
2.484658, -2.853656, 0.673146, 0.690335
2.329792, -3.082707, 0.615554, 0.673146
3.902063, -3.254431, 0.698771, 1.179248
3.900879, -3.594006, 0.812500, 1.370732
3.870499, -3.917905, 0.870524, 1.629801
3.765127, -4.224257, 0.922801, 1.787544
3.739311, -4.524078, 0.978280, 1.761125
3.652081, -4.790791, 1.062500, 1.733178
3.510790, -5.018918, 1.034559, 1.733178
3.460872, -5.261113, 1.091516, 1.705918
3.364053, -5.469293, 1.062500, 1.705918
3.267793, -5.666457, 1.126735, 1.682864
3.171872, -5.857237, 1.118034, 1.700184
3.074190, -6.046895, 1.147347, 1.700184
2.974828, -6.235698, 1.126735, 1.682864
2.829536, -6.400499, 1.091516, 1.677051
2.769484, -6.613612, 1.147347, 1.664191
2.662766, -6.802989, 1.147347, 1.677051
2.551556, -6.994887, 1.118034, 1.677051
2.395545, -7.158537, 1.062500, 1.650047
2.278787, -7.347609, 1.034559, 1.650047
2.154905, -7.540946, 1.007782, 1.621390
2.028193, -7.730754, 0.978280, 1.612936
1.896625, -7.919247, 0.951972, 1.593444
1.761461, -8.104387, 0.922801, 1.597117
1.666423, -8.312039, 0.937500, 1.597117
1.529118, -8.486536, 0.922801, 1.577429
1.392011, -8.655707, 0.868278, 1.577429
1.217446, -8.787648, 0.755190, 1.566246
1.119279, -8.980958, 0.783123, 1.453713
0.984418, -9.137906, 0.698771, 1.288471
0.850807, -9.291849, 0.643477, 1.118034
0.718747, -9.443145, 0.643477, 1.001951
-1.672577, -7.620450, 2.125919, 0.676041
-1.807008, -7.774646, 2.219410, 0.755190
-1.943149, -7.931886, 2.236068, 0.812500
-2.080359, -8.092138, 2.292140, 0.838525
-2.218969, -8.256663, 2.375822, 0.894864
-2.358300, -8.425618, 2.404423, 0.901388
-2.496808, -8.598064, 2.465385, 0.978280
-2.635692, -8.776453, 2.488254, 1.007782
-2.772982, -8.959299, 2.488254, 1.034559
-2.910059, -9.149984, 2.571630, 1.062500
-3.046609, -9.350024, 2.627975, 1.091516
-3.174971, -9.549334, 2.627975, 1.118034
-3.301999, -9.759574, 2.617549, 1.147347
-3.426382, -9.980591, 2.655331, 1.118034
-3.545740, -10.211378, 2.655331, 1.118034
-3.663408, -10.466298, 2.655331, 1.118034
-3.772607, -10.742217, 2.627975, 1.118034
-3.865428, -11.029210, 2.569351, 1.091516
-3.940749, -11.333639, 2.488254, 1.034559
-3.994090, -11.655886, 2.392207, 0.978280
-4.020668, -11.990717, 2.319247, 0.870524
-4.018171, -12.323574, 2.215006, 0.790569
-2.409461, -12.379973, 0.637377, 0.673146
-2.517377, -12.622623, 0.637377, 0.673146
-2.600769, -12.869115, 0.625000, 0.687500
-2.651309, -13.144162, 0.625000, 0.687500
-2.604091, -13.429900, 0.652519, 0.731544
-2.438561, -13.699181, 0.707107, 0.752600
-2.128471, -13.851750, 0.652519, 0.690335
-1.817282, -13.947819, 0.773082, 0.687500
-1.568000, -13.914049, 0.750000, 0.687500
-1.340286, -13.950125, 0.812500, 0.687500
-1.074969, -13.856186, 0.731544, 0.687500
-0.820242, -13.819786, 0.755190, 0.673146
-0.574490, -13.753005, 0.838525, 0.643477
-0.426882, -13.544919, 0.752600, 0.676041
-0.283528, -13.382473, 0.707107, 0.676041
-0.180291, -13.178340, 0.664384, 0.652519
