s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,0.0,0.0,-2.82236,0.488358,4.923416,-0.323914
0.199712,0.070039,-0.183632,-2.734273,0.42043,4.91026,1.379669
0.399424,0.157637,-0.365394,-2.650895,0.415104,4.966057,1.268261
0.599136,0.260106,-0.538786,-2.563055,0.461254,5.016801,-0.113688
0.798848,0.387526,-0.715417,-2.473695,0.366081,5.012274,2.299197
0.99856,0.51477,-0.865888,-2.407407,0.310471,5.103062,3.392723
1.198272,0.649729,-1.006819,-2.346972,0.346443,5.234155,1.959322
1.397984,0.790919,-1.137095,-2.292507,0.1165,5.308388,1.174742
1.597696,0.930286,-1.258537,-2.278314,0.181002,5.352401,-3.488896
1.797408,1.090893,-1.389015,-2.222649,0.332334,5.220598,-2.426094
1.997121,1.249357,-1.503484,-2.180515,0.060123,5.126949,-8.39574
2.196833,1.415764,-1.620344,-2.193538,-0.177224,4.788752,-6.130428
2.396545,1.581266,-1.745507,-2.247224,-0.306605,4.525871,-3.938705
2.596257,1.734732,-1.877736,-2.321428,-0.446345,4.348597,-0.376204
2.795969,1.872684,-2.020802,-2.435409,-0.639658,4.331285,-0.376204
2.995681,1.995491,-2.183408,-2.545802,-0.393259,4.313904,4.308347
3.195393,2.098295,-2.343254,-2.587766,-0.250805,4.508949,4.8923
3.395105,2.19572,-2.514721,-2.671447,-0.528962,4.72067,-0.234652
3.594817,2.273713,-2.689394,-2.7712,-0.514204,4.710732,0.144282
3.794529,2.338042,-2.88534,-2.877862,-0.52261,4.716845,-0.073525
3.994241,2.379472,-3.077057,-2.978683,-0.49891,4.713731,0.469026
4.193953,2.402236,-3.277234,-3.077612,-0.485928,4.733561,0.662681
4.393665,2.405302,-3.478895,3.108851,-0.459996,4.761438,1.11667
4.593377,2.390129,-3.67603,3.021935,-0.422508,4.808047,1.76917
4.793089,2.357234,-3.87736,2.938001,-0.402839,4.88098,1.925026
4.992802,2.310034,-4.068923,2.864444,-0.335504,4.95912,3.255836
5.192514,2.249456,-4.25915,2.804397,-0.267788,5.088548,4.54682
5.392226,2.177563,-4.448825,2.75616,-0.208762,5.263975,4.74433
5.591938,2.099973,-4.630278,2.720792,-0.150679,5.440996,4.706328
5.79165,2.015808,-4.811847,2.696044,-0.097493,5.611083,4.668631
5.991362,1.927419,-4.993109,2.6813,-0.054649,5.774861,4.631236
6.191074,1.838162,-5.170785,2.671002,-0.049074,5.932862,4.594141
6.390786,1.746615,-5.348652,2.661684,-0.044198,6.085545,4.557342
6.590498,1.653223,-5.526219,2.653236,-0.041307,6.233311,4.520839
6.79021,1.558476,-5.702712,2.644414,-0.046867,6.376512,4.484628
6.989922,1.462326,-5.877855,2.634442,-0.053076,6.515456,4.448706
7.189634,1.364512,-6.051633,2.623175,-0.059782,6.65042,4.413073
7.389346,1.263321,-6.226479,2.610533,-0.065597,6.78165,4.377725
7.589058,1.161155,-6.39776,2.59676,-0.072795,6.909367,4.34266
7.78877,1.057065,-6.56665,2.581458,-0.08174,7.033769,4.307876
7.988482,0.947851,-6.737503,2.56384,-0.092271,7.155039,4.273371
8.188194,0.837984,-6.902562,2.544396,-0.104144,7.27334,4.239142
8.387906,0.724479,-7.065682,2.522774,-0.108431,7.388822,4.205187
8.587618,0.606251,-7.228037,2.501924,-0.098556,7.501622,4.171504
8.787331,0.486935,-7.38532,2.483728,-0.085206,7.611868,4.138091
8.987043,0.363305,-7.542671,2.467924,-0.073266,7.719676,4.104945
9.186755,0.237746,-7.697755,2.454508,-0.061004,7.825152,4.072065
9.386467,0.110673,-7.850869,2.443655,-0.04843,7.928397,4.039449
9.586179,-0.018497,-8.003479,2.435115,-0.036916,8.029504,4.007094
9.785891,-0.148438,-8.154729,2.428935,-0.02501,8.128559,3.974997
9.985603,-0.279258,-8.305465,2.425049,-0.014228,8.225642,3.943158
10.185315,-0.410566,-8.4559,2.423249,-0.003799,8.320828,3.911574
10.385027,-0.541974,-8.606218,2.42353,0.00658,8.414187,3.880243
10.584739,-0.673101,-8.756611,2.425864,0.016794,8.505787,-7.759594
10.784451,-0.803953,-8.90771,2.430231,0.026881,8.321601,-10.755281
10.984163,-0.933567,-9.059024,2.436762,0.039217,8.05935,-10.063743
11.183875,-1.062246,-9.211646,2.445861,0.05183,7.805986,-9.502469
11.383587,-1.189536,-9.365826,2.457425,0.063764,7.558962,-9.059588
11.583299,-1.314115,-9.520689,2.47123,0.074995,7.315688,-8.734122
11.783012,-1.437399,-9.678724,2.487315,0.085331,7.073236,-8.15025
11.982724,-1.556636,-9.837081,2.505683,0.102357,6.839244,-7.635898
12.182436,-1.673005,-9.998334,2.527852,0.119861,6.612511,-7.397434
12.382148,-1.787591,-10.165422,2.553542,0.132943,6.385185,-7.300078
12.58186,-1.893318,-10.32867,2.58057,0.14421,6.152622,-7.293812
12.781572,-1.997224,-10.499548,2.610178,0.151125,5.911128,-7.419707
12.981284,-2.097618,-10.67657,2.641441,0.16301,5.654894,-6.301967
13.180996,-2.188654,-10.850376,2.678415,0.213465,5.427768,-5.331712
13.380708,-2.274151,-11.031952,2.726334,0.264036,5.227911,-4.531086
13.58042,-2.350812,-11.220233,2.785244,0.312708,5.051854,-4.404652
13.780132,-2.414403,-11.409376,2.850171,0.339697,4.874618,-4.08405
13.979844,-2.465134,-11.603007,2.921802,0.377745,4.704321,-3.56768
14.179556,-2.500956,-11.799242,3.001919,0.427301,4.550343,-3.422328
14.379268,-2.520739,-12.005293,3.089325,0.417398,4.397574,-4.266278
14.57898,-2.5227,-12.207093,-3.107986,0.440878,4.199358,-3.999783
14.778692,-2.507836,-12.397928,-3.017267,0.518914,4.004622,-3.776377
14.978404,-2.469385,-12.608597,-2.905512,0.508911,3.811642,-4.513682
15.178116,-2.414621,-12.795979,-2.810765,0.453843,3.567316,-6.229387
15.377829,-2.342671,-12.979109,-2.719427,0.583723,3.199622,-4.511855
15.577541,-2.25034,-13.151762,-2.570704,0.907755,2.904382,-4.433393
15.777253,-2.128076,-13.307264,-2.371999,1.155391,2.581594,-0.132587
15.976965,-1.974546,-13.428894,-2.087949,1.814972,2.571317,-0.132587
16.176677,-1.781223,-13.499266,-1.770097,1.303002,2.560998,3.322458
16.376389,-1.589878,-13.514648,-1.542925,0.813879,2.808164,5.141863
16.576101,-1.401753,-13.504343,-1.507907,0.399006,3.152708,4.527981
16.775813,-1.201523,-13.476734,-1.339855,1.021437,3.427558,-0.235591
16.975525,-1.017724,-13.415434,-1.172918,0.638529,3.413803,4.324842
17.175237,-0.834672,-13.326033,-1.066532,0.442773,3.658073,5.031654
17.374949,-0.657266,-13.217928,-0.984205,0.326613,3.92317,4.991352
17.574661,-0.495357,-13.103854,-0.934664,0.179785,4.169524,4.951372
17.774373,-0.33408,-12.981238,-0.910947,0.05735,4.400298,4.911712
17.974085,-0.170276,-12.85343,-0.90771,-0.012657,4.617844,4.87237
18.173797,-0.009522,-12.728692,-0.916145,-0.074793,4.823963,4.833343
18.373509,0.143211,-12.613871,-0.939618,-0.173134,5.020077,4.794629
18.573222,0.316802,-12.491046,-0.966122,-0.049655,5.207328,4.756225
18.772934,0.468739,-12.385495,-0.952761,0.198012,5.386652,0.800817
18.972646,0.628463,-12.270608,-0.956745,-0.247471,5.416261,-0.583612
19.172358,0.792972,-12.162934,-1.031562,-0.412332,5.394699,-0.583612
19.37207,0.963492,-12.069406,-1.104582,-0.347215,5.37305,1.397077
19.571782,1.154446,-11.981583,-1.173418,-0.294541,5.42473,2.742201
19.771494,1.342271,-11.908528,-1.223757,-0.218368,5.524762,4.687908
19.971206,1.531556,-11.844514,-1.265154,-0.204959,5.691701,4.650358
20.170918,1.729024,-11.786693,-1.305466,-0.170536,5.8526,4.61311
20.37063,1.918079,-11.738108,-1.329664,-0.067382,6.007954,4.57616
20.570342,2.108174,-11.691772,-1.328996,0.076944,6.158193,4.539505
20.770054,2.301402,-11.64156,-1.299668,0.210113,6.303692,2.853995
20.969766,2.489129,-11.584735,-1.253258,0.243135,6.393472,1.24178
21.169478,2.678432,-11.517326,-1.204061,0.245975,6.432144,0.993744
21.36919,2.862758,-11.44128,-1.154935,0.246697,6.462925,0.857996
21.568902,3.042643,-11.356497,-1.105713,0.248484,6.489384,0.691316
21.768614,3.221826,-11.260829,-1.055024,0.248328,6.510625,0.623766
21.968326,3.390716,-11.159615,-1.007058,0.239819,6.529731,0.919732
22.168039,3.558681,-11.047691,-0.959076,0.236352,6.5578,0.973326
22.367751,3.719454,-10.929185,-0.912435,0.227912,6.587376,1.239893
22.567463,3.874341,-10.803749,-0.86804,0.218189,6.624859,1.543851
22.767175,4.02541,-10.670035,-0.824697,0.212031,6.671238,1.670999
22.966887,4.168595,-10.532122,-0.784172,0.195444,6.721075,2.265374
