# x_m, y_m, w_tr_right_m, w_tr_left_m
54.177459, 12.958392, 0.491199, 0.495023
54.276492, 12.946886, 0.478914, 0.490995
54.371264, 12.915803, 0.466855, 0.483348
54.458869, 12.868330, 0.456493, 0.480543
54.539711, 12.809562, 0.451063, 0.472579
54.617150, 12.746331, 0.447104, 0.461312
54.691420, 12.679428, 0.448077, 0.455136
54.761453, 12.608124, 0.454140, 0.455588
54.826210, 12.532019, 0.460294, 0.453914
54.884204, 12.450681, 0.473235, 0.459819
54.934004, 12.364082, 0.476991, 0.467398
54.972798, 12.272240, 0.490724, 0.477285
54.999220, 12.175895, 0.504457, 0.496878
55.018439, 12.077794, 0.518597, 0.516810
55.035951, 11.979355, 0.532014, 0.538167
55.053929, 11.881006, 0.540271, 0.550045
55.070737, 11.782445, 0.547398, 0.558235
55.087983, 11.683970, 0.559186, 0.568303
55.099828, 11.584724, 0.564434, 0.566900
55.104798, 11.484914, 0.570407, 0.567670
55.103199, 11.384959, 0.575520, 0.572421
55.090515, 11.286308, 0.581425, 0.576425
55.061781, 11.190599, 0.586244, 0.581855
55.024203, 11.098115, 0.594864, 0.585747
54.976417, 11.010412, 0.605407, 0.584706
54.919461, 10.928406, 0.628077, 0.602014
54.856980, 10.850328, 0.652760, 0.631946
54.789419, 10.777155, 0.677715, 0.667376
54.710808, 10.715630, 0.702670, 0.699638
54.626693, 10.661584, 0.725656, 0.723462
54.541883, 10.608636, 0.746629, 0.745498
54.459327, 10.552238, 0.760701, 0.765860
54.381447, 10.489871, 0.768281, 0.778190
54.311153, 10.418800, 0.769932, 0.790045
54.245921, 10.343113, 0.775136, 0.790520
54.186422, 10.262788, 0.768213, 0.785928
54.132219, 10.178837, 0.760860, 0.770747
54.078218, 10.094945, 0.753077, 0.746290
54.015473, 10.017092, 0.741855, 0.720792
53.951252, 9.940440, 0.726109, 0.713416
53.888862, 9.862345, 0.713371, 0.706697
53.831260, 9.780643, 0.697489, 0.701991
53.775200, 9.697874, 0.692602, 0.693281
53.717193, 9.616437, 0.688937, 0.687557
53.661510, 9.533376, 0.684955, 0.689819
53.603740, 9.451881, 0.687195, 0.693077
53.539963, 9.374868, 0.695204, 0.698575
53.474385, 9.299377, 0.698009, 0.712398
53.408741, 9.223954, 0.713100, 0.723416
53.343034, 9.148638, 0.728665, 0.738959
53.273851, 9.076432, 0.756652, 0.750679
53.204186, 9.004692, 0.781719, 0.770385
53.133312, 8.934163, 0.808824, 0.785747
53.061682, 8.864403, 0.827240, 0.802670
52.990564, 8.794141, 0.846403, 0.824910
52.915392, 8.728305, 0.863756, 0.849299
52.836666, 8.666644, 0.881900, 0.877828
52.758872, 8.603849, 0.894751, 0.909253
52.685603, 8.535990, 0.911290, 0.935498
52.617099, 8.463147, 0.928439, 0.961787
52.549557, 8.389534, 0.946425, 0.993190
